STANDING,TEAM,played,W,D,L,F,A,GD,PTS
1,Arsenal,3,3,0,0,9,2,7,9
2,Manchester City,3,2,1,0,9,3,6,7
3,Leeds United,3,2,1,0,7,3,4,7
4,Tottenham Hotspur,3,2,1,0,7,3,4,7
5,Brighton and Hove Albion,3,2,1,0,4,1,3,7
6,Newcastle United,3,1,2,0,5,3,2,5
7,Fulham,3,1,2,0,5,4,1,5
8,Brentford,3,1,1,1,8,5,3,4
9,Crystal Palace,3,1,1,1,4,4,0,4
10,Nottingham Forest,3,1,1,1,2,3,-1,4
11,Southampton,3,1,1,1,5,7,-2,4
12,Chelsea,3,1,1,1,3,5,-2,4
13,Aston Villa,3,1,0,2,3,6,-3,3
14,Manchester United,3,1,0,2,3,7,-4,3
15,Bournemouth,3,1,0,2,2,7,-5,3
16,Liverpool,3,0,2,1,4,5,-1,2
17,Everton,3,0,1,2,2,4,-2,1
18,Wolverhampton Wanderers,3,0,1,2,1,3,-2,1
19,Leicester City,3,0,1,2,5,8,-3,1
20,West Ham United,3,0,0,3,0,5,-5,0
